,tau,model1,model2,model3,model4,model5,model6,model7,model8,GB1,GB2
0,0.01,0.4415769572861706,0.43434728432494196,0.4437737533318997,0.37662593038911335,0.3864579057400467,0.3994654066506713,0.3857526261491514,0.27474944268275087,0.5454569178267603,0.5070264011788674
1,0.02,0.8138076758640892,0.8065323927779395,0.7680621314036691,0.6434429538918007,0.6029024341063475,0.759124432391162,0.6955320477721372,0.4962914984201885,0.9181728407598558,0.905986346529665
2,0.03,1.1733616054467388,1.112063981747544,1.08582636105428,0.9158892362795138,0.8339444848227615,1.047582887915021,0.97799508908124,0.7408345613235122,1.273416627671325,1.3090398532814478
3,0.04,1.5075674964894692,1.446719185263556,1.40961412492511,1.1265373315317513,1.0529934349471328,1.3564336927081633,1.2277218873618945,0.9099131279463144,1.3669483480789346,1.3977643809630416
4,0.05,1.7903004264152378,1.7392387738404353,1.7300811600628865,1.3890801487839457,1.2641754079009961,1.6155303429777799,1.4765010862684647,1.0551209116845761,1.5389535296936268,1.5870472801325841
5,0.060000000000000005,2.0333950996848493,1.9972115216643196,2.003302308184025,1.6253312586932107,1.487699800671859,1.8236526146107273,1.7232490902568387,1.2501847003725173,1.7062613379930984,1.695445920344024
6,0.06999999999999999,2.323233938541829,2.2685918604468385,2.233184147559861,1.817029383845089,1.6621057399483896,2.0955209229089498,1.9686822559227997,1.3685940675072665,1.9715997020999558,1.9252664077612405
7,0.08,2.581176378655927,2.5238042698314618,2.493249765681692,1.9865523686313127,1.8925692186590974,2.3721459958094417,2.1737856222555227,1.4660717914748058,1.856476134239763,1.8352225517726088
8,0.09,2.833214199696851,2.75256332254036,2.7342405633621443,2.177435061471776,2.0283794423857224,2.6364972523389096,2.3836906777910305,1.5509827019641784,2.0577661140563954,2.114256870458266
9,0.09999999999999999,2.9322917779817814,2.974629303866127,2.9485827749132385,2.329167268512316,2.150370478235079,2.8780146943919305,2.5757995242364697,1.6462434235580157,2.0301102367242736,2.332846718783824
10,0.11,3.0731548219609657,3.2098371914407595,3.1238474284164797,2.507039706398827,2.332218524525435,3.0969725426411396,2.7332318825336737,1.743135198771929,2.1341028776890427,2.202132922947827
11,0.12,3.2208724184220046,3.3656212614425103,3.2928178558084302,2.674281780471414,2.4508858384751466,3.298260774822833,2.9161087241475703,1.8477847507309537,2.4736384444509647,2.343903305474666
12,0.13,3.41191037401291,3.5495934742825237,3.482539598914403,2.86341200217341,2.559902759511109,3.5131139028383243,3.157178070955519,1.9908451008688643,2.417252201403603,2.390976230815608
13,0.14,3.5217681254738067,3.6658456112052082,3.679489531601155,3.0160458127411363,2.673351067439468,3.736726787562143,3.3222351590790393,2.082171635775998,2.4869362094555725,2.368661744076543
14,0.15000000000000002,3.7093464859134166,3.8951528083545375,3.907923981998153,3.1603944806624393,2.827770334322333,3.8596043760572063,3.510220902325342,2.17077408915479,2.6616081745252016,2.2489779849899385
15,0.16,3.8684140195527794,4.119671682431545,4.010555860447994,3.3389664084369457,2.9655838190555555,3.9941528688767756,3.622433877100574,2.2402644753448113,2.612832465179838,2.2650302294081683
16,0.17,4.007349890508514,4.221396574243216,4.135800426347436,3.434961935715785,3.0527028681701482,4.249971259247827,3.809210982871623,2.371916384066533,3.0361219016044547,2.4044146618235214
17,0.18000000000000002,4.1707755689612505,4.337606553819214,4.2898894376690695,3.5422730501606803,3.1341840902538407,4.471857030009232,3.919484945618532,2.471421779323661,2.424970141636336,2.4563542385852837
18,0.19,4.286541984924805,4.472263373347264,4.336911340190014,3.678929466710963,3.237585051025768,4.577738667337289,4.00004153319127,2.551203772445,2.530065402962948,2.4518181298412562
19,0.2,4.354312491977968,4.633337750017462,4.491313774098256,3.7698057387668724,3.386847780478905,4.740310877420812,4.169920745386517,2.624363517690899,2.6434938014244027,2.576472409797096
20,0.21000000000000002,4.488662856655734,4.741421747192693,4.632678640504882,3.925967816313785,3.5039743553023324,4.9246396136343495,4.335945208618413,2.7419492994843826,2.647086658338639,2.2354004773634735
21,0.22,4.635104591161464,4.893008033143587,4.759166479905922,3.9986967841513414,3.614315722005569,5.088922013608931,4.498185554637897,2.851768498151037,2.7976817930600975,2.337453301835127
22,0.23,4.746470495400846,4.976689268540873,4.826961769361821,4.13562096925799,3.751384707341564,5.223017207445619,4.535083113676176,2.9079864989754856,2.6178272543960124,2.2836169941392277
